candidate_id,model_id,model_family,protocol,split_id,seed,fold,paper_id,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00880-2,0.7007077856420627,0.5721341738928112,0.2440305649904695,0.05621171880166098,0.08,0.5101112234580384,0.043478260869565216,0.9767441860465116,0.5
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-018-9655-0,0.9605263157894737,0.9922173855691858,0.09344683486298051,0.5722633835193015,0.8484848484848485,0.868421052631579,0.7368421052631579,1.0,1.0
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::urban david et al solid fuel ignition testing for lunar applications theory and experimental results,0.5201754385964913,0.5466019231179259,0.35255119439031324,-0.018620327436868072,0.4,0.49122807017543857,0.3157894736842105,0.6666666666666666,0.5454545454545454
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80314-5,0.9791666666666667,0.9963235294117647,0.0995703216453988,0.724568837309472,0.9333333333333333,0.9375,0.875,1.0,1.0
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-024-10106-y,,,1.9043584487121734e-07,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::mitsui fumiya et al effect of the ignition method on the extinction limit for a flame spreading over electric wire insulation 47th international conference on environmental systems 16 20 july 2017 charleston sc usa 2017,0.7333333333333334,0.8242424242424242,0.18712186533771671,0.4485426135725303,0.6666666666666666,0.7166666666666667,0.6,0.8333333333333334,0.75
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1038/s41598-017-18398-4,0.775,0.9093987314285301,0.13899698112166556,0.3952847075210474,0.8333333333333334,0.75,0.75,0.75,0.9375
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-022-09945-4,,,0.0,0.0,1.0,1.0,1.0,,1.0
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.actaastro.2019.01.044,1.0,1.0,0.19862029044821813,0.4472135954999579,0.75,0.8,0.6,1.0,1.0
mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,0.7368421052631579,0.9852889124255427,0.05395228263010967,0.0,0.9743589743589743,0.5,1.0,0.0,0.95
